Site Class,SA0P0,SA0P01,SA0P02,SA0P03,SA0P05,SA0P075,SA0P1,SA0P15,SA0P2,SA0P25,SA0P3,SA0P4,SA0P5,SA0P75,SA1P0,SA1P5,SA2P0,SA3P0,SA4P0,SA5P0,SA7P5,SA10P0
A,0.50,0.50,0.52,0.60,0.81,1.04,1.12,1.12,1.01,0.90,0.81,0.69,0.60,0.46,0.37,0.26,0.21,0.15,0.12,0.10,0.063,0.042
B,0.57,0.57,0.58,0.66,0.89,1.14,1.25,1.29,1.19,1.07,0.98,0.83,0.72,0.54,0.42,0.29,0.23,0.17,0.13,0.11,0.068,0.045
BC,0.66,0.66,0.68,0.75,0.95,1.21,1.37,1.53,1.50,1.40,1.30,1.14,1.01,0.76,0.60,0.41,0.31,0.21,0.16,0.13,0.080,0.052
C,0.73,0.73,0.74,0.79,0.96,1.19,1.37,1.61,1.71,1.71,1.66,1.53,1.38,1.07,0.86,0.60,0.45,0.31,0.24,0.19,0.11,0.069
CD,0.74,0.75,0.75,0.78,0.89,1.08,1.24,1.50,1.66,1.77,1.83,1.82,1.73,1.41,1.17,0.84,0.64,0.45,0.34,0.26,0.15,0.089
D,0.69,0.70,0.70,0.70,0.76,0.90,1.04,1.27,1.44,1.58,1.71,1.80,1.80,1.57,1.39,1.09,0.88,0.63,0.47,0.36,0.19,0.11
DE,0.61,0.62,0.62,0.62,0.62,0.71,0.82,1.00,1.15,1.30,1.44,1.61,1.68,1.60,1.51,1.35,1.19,0.89,0.66,0.49,0.26,0.14
E,0.55,0.55,0.55,0.55,0.55,0.62,0.72,0.87,1.01,1.15,1.30,1.48,1.60,1.59,1.58,1.54,1.46,1.11,0.81,0.61,0.31,0.17
